<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,20,GSW,NBA,SG,49,3,886,132,318,.415,28,82,.341,104,236,.441,.459,42,59,.712,22,83,105,78,32,11,58,69,334
2006-07,21,GSW,NBA,SG,77,53,2638,480,1010,.475,39,143,.273,441,867,.509,.495,273,358,.763,62,181,243,319,132,21,221,210,1272
2007-08,22,GSW,NBA,SG,81,72,3071,652,1227,.531,12,52,.231,640,1175,.545,.536,320,417,.767,133,271,404,315,124,27,173,195,1636
2008-09,23,GSW,NBA,SG,25,25,892,194,430,.451,8,26,.308,186,404,.460,.460,78,94,.830,14,94,108,93,39,8,67,67,474
2009-10,24,GSW,NBA,SG,64,64,2647,631,1406,.449,77,228,.338,554,1178,.470,.476,292,388,.753,47,210,257,340,143,25,244,189,1631
2010-11,25,GSW,NBA,SG,80,80,3227,726,1611,.451,137,379,.361,589,1232,.478,.493,340,431,.789,44,237,281,450,168,23,252,203,1929
2011-12,26,TOT,NBA,SG,58,58,2120,450,1040,.433,62,201,.308,388,839,.462,.463,219,275,.796,20,180,200,346,85,18,177,136,1181
2011-12,26,GSW,NBA,SG,37,37,1365,305,704,.433,50,156,.321,255,548,.465,.469,151,186,.812,16,111,127,223,56,12,123,84,811
2011-12,26,MIL,NBA,SG,21,21,755,145,336,.432,12,45,.267,133,291,.457,.449,68,89,.764,4,69,73,123,29,6,54,52,370
2012-13,27,MIL,NBA,SG,82,82,3076,597,1436,.416,94,328,.287,503,1108,.454,.448,289,374,.773,45,271,316,496,169,36,254,164,1577
2013-14,28,DAL,NBA,PG,82,82,3023,576,1278,.451,69,209,.330,507,1069,.474,.478,339,430,.788,38,257,295,471,141,23,264,197,1560
2014-15,29,DAL,NBA,SG,80,80,2699,602,1354,.445,81,284,.285,521,1070,.487,.475,228,303,.752,34,156,190,329,148,25,198,197,1513
2015-16,30,IND,NBA,SG,6,6,196,25,76,.329,3,17,.176,22,59,.373,.349,9,11,.818,3,15,18,31,9,2,19,15,62
Career,,,NBA,,684,605,24475,5065,11186,.453,610,1949,.313,4455,9237,.482,.480,2429,3140,.774,462,1955,2417,3268,1190,219,1927,1642,13169
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,GSW,NBA,,413,334,14726,3120,6706,.465,351,1066,.329,2769,5640,.491,.491,1496,1933,.774,338,1187,1525,1818,694,127,1138,1017,8087
2 seasons,,DAL,NBA,,162,162,5722,1178,2632,.448,150,493,.304,1028,2139,.481,.476,567,733,.774,72,413,485,800,289,48,462,394,3073
2 seasons,,MIL,NBA,,103,103,3831,742,1772,.419,106,373,.284,636,1399,.455,.449,357,463,.771,49,340,389,619,198,42,308,216,1947
1 season,,IND,NBA,,6,6,196,25,76,.329,3,17,.176,22,59,.373,.349,9,11,.818,3,15,18,31,9,2,19,15,62
