<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,32-116,MEM,,MIN,W (+4),0,14:01,1,3,.333,0,1,.000,0,0,,0,1,1,1,0,0,1,2,2,-0.5,-11
2,2,2014-10-31,32-118,MEM,@,IND,W (+8),0,16:50,4,6,.667,1,2,.500,0,0,,0,3,3,2,0,0,1,0,9,7.7,+2
3,3,2014-11-01,32-119,MEM,@,CHO,W (+2),0,21:12,3,8,.375,0,0,,0,0,,0,2,2,5,1,0,2,2,6,3.9,+5
4,4,2014-11-03,32-121,MEM,,NOP,W (+12),0,17:23,4,8,.500,1,3,.333,0,0,,0,2,2,4,1,0,1,1,9,8.0,-5
5,5,2014-11-05,32-123,MEM,@,PHO,W (+11),0,18:47,3,6,.500,0,2,.000,0,0,,0,2,2,3,0,0,2,3,6,2.5,-1
6,6,2014-11-07,32-125,MEM,@,OKC,W (+2),0,13:00,2,5,.400,1,3,.333,0,0,,0,1,1,3,0,0,0,1,5,4.3,+2
7,7,2014-11-08,32-126,MEM,@,MIL,L (-1),0,18:58,1,4,.250,0,2,.000,2,2,1.000,0,0,0,1,0,0,2,1,4,-0.1,-4
8,8,2014-11-11,32-129,MEM,,LAL,W (+5),0,18:03,8,11,.727,0,1,.000,0,0,,0,1,1,3,1,0,2,1,16,12.5,+2
9,9,2014-11-13,32-131,MEM,,SAC,W (+1),0,9:16,2,3,.667,0,0,,0,0,,0,1,1,0,0,0,1,3,4,0.8,-12
10,10,2014-11-15,32-133,MEM,,DET,W (+7),0,18:38,3,5,.600,0,1,.000,2,2,1.000,0,1,1,1,1,0,3,2,8,3.9,+10
11,11,2014-11-17,32-135,MEM,,HOU,W (+26),0,24:47,5,8,.625,0,1,.000,3,3,1.000,0,1,1,6,0,0,3,3,13,9.7,+5
12,,2014-11-19,32-137,MEM,,TOR,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,12,2014-11-21,32-139,MEM,,BOS,W (+17),0,25:43,4,9,.444,0,1,.000,1,2,.500,1,1,2,3,1,1,1,1,9,7.3,0
14,13,2014-11-23,32-141,MEM,,LAC,W (+16),0,20:18,4,8,.500,1,3,.333,2,2,1.000,1,2,3,5,0,0,0,2,11,11.0,+3
15,14,2014-11-26,32-144,MEM,@,LAL,W (+6),0,17:58,2,6,.333,0,2,.000,0,0,,0,0,0,5,0,0,0,0,4,4.1,-5
16,15,2014-11-28,32-146,MEM,@,POR,W (+13),0,10:22,3,7,.429,0,1,.000,0,1,.000,0,1,1,1,1,0,0,1,6,3.5,-10
17,16,2014-11-30,32-148,MEM,@,SAC,W (+12),0,16:59,3,6,.500,0,1,.000,1,1,1.000,0,0,0,2,1,0,0,2,7,5.6,+7
18,17,2014-12-03,32-151,MEM,@,HOU,L (-9),0,20:40,3,3,1.000,0,0,,3,4,.750,0,3,3,4,1,0,3,0,9,9.4,+11
19,18,2014-12-05,32-153,MEM,,SAS,L (-6),0,19:02,2,3,.667,0,0,,2,2,1.000,0,1,1,3,0,0,0,0,6,7.1,-5
20,19,2014-12-07,32-155,MEM,,MIA,W (+16),0,18:52,2,3,.667,0,0,,0,0,,0,2,2,6,0,0,3,0,4,4.5,+12
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,20,2014-12-09,32-157,MEM,,DAL,W (+9),0,16:15,4,7,.571,1,1,1.000,1,2,.500,0,4,4,4,0,0,1,0,10,9.3,-6
22,21,2014-12-12,32-160,MEM,,CHO,W (+6),0,16:20,2,4,.500,0,1,.000,5,5,1.000,0,3,3,6,1,0,2,1,9,10.7,-4
23,22,2014-12-13,32-161,MEM,@,PHI,W (+5),0,19:53,2,5,.400,1,2,.500,0,1,.000,0,0,0,4,1,0,0,5,5,3.7,+21
24,23,2014-12-16,32-164,MEM,,GSW,W (+7),0,15:47,3,4,.750,0,0,,0,0,,0,1,1,8,1,0,0,0,6,11.3,+15
25,24,2014-12-17,32-165,MEM,@,SAS,W (+1),0,16:24,0,4,.000,0,3,.000,0,0,,0,1,1,6,0,1,1,0,0,1.4,-9
26,25,2014-12-19,32-167,MEM,,CHI,L (-6),0,19:41,5,8,.625,0,0,,5,5,1.000,0,0,0,1,2,0,1,0,15,13.1,-3
27,26,2014-12-21,32-169,MEM,@,CLE,L (-14),0,19:04,1,4,.250,0,1,.000,0,0,,0,1,1,5,0,0,1,2,2,1.6,-8
28,27,2014-12-22,32-170,MEM,,UTA,L (-6),0,19:25,0,3,.000,0,2,.000,0,0,,1,2,3,3,0,0,0,1,0,0.9,+3
29,28,2014-12-26,32-174,MEM,,HOU,L (-6),0,20:51,7,12,.583,1,4,.250,2,3,.667,0,3,3,2,0,0,0,3,17,12.1,-1
30,29,2014-12-27,32-175,MEM,@,MIA,W (+8),0,18:57,4,8,.500,1,3,.333,2,2,1.000,0,2,2,3,2,0,0,0,11,11.7,0
31,30,2014-12-30,32-178,MEM,,SAS,W (+8),0,15:03,1,6,.167,0,1,.000,1,1,1.000,0,2,2,1,1,0,0,1,3,1.1,+1
