<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,20,DEN,NBA,C,80,53,2258,321,619,.519,0,3,.000,321,616,.521,.519,197,341,.578,208,283,491,149,127,65,181,295,839
2003-04,21,DEN,NBA,PF,77,77,2504,334,630,.530,0,2,.000,334,628,.532,.530,240,352,.682,154,349,503,168,116,41,183,280,908
2004-05,22,DEN,NBA,C,55,18,1317,194,386,.503,0,2,.000,194,384,.505,.503,140,212,.660,104,221,325,84,50,48,94,167,528
2005-06,23,DEN,NBA,PF,1,0,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,2,1,0
2006-07,24,DEN,NBA,C,64,42,1715,294,516,.570,0,1,.000,294,515,.571,.570,195,283,.689,150,299,449,77,62,59,127,209,783
2007-08,25,DEN,NBA,PF,16,1,266,29,71,.408,0,1,.000,29,70,.414,.408,27,49,.551,30,57,87,15,9,14,21,46,85
2008-09,26,DEN,NBA,C,77,76,2510,428,709,.604,1,5,.200,427,704,.607,.604,266,368,.723,183,415,598,108,95,101,147,278,1123
2009-10,27,DEN,NBA,C,82,82,2755,421,717,.587,0,2,.000,421,715,.589,.587,293,416,.704,166,461,627,203,115,82,125,281,1135
2010-11,28,DEN,NBA,C,75,75,2291,402,654,.615,1,5,.200,401,649,.618,.615,286,402,.711,145,426,571,149,84,73,134,238,1091
2011-12,29,TOT,NBA,C,39,33,1110,211,393,.537,0,4,.000,211,389,.542,.537,113,168,.673,63,228,291,80,42,38,96,95,535
2011-12,29,DEN,NBA,C,28,27,826,143,281,.509,0,2,.000,143,279,.513,.509,90,133,.677,43,165,208,61,36,25,77,69,376
2011-12,29,WAS,NBA,C,11,6,284,68,112,.607,0,2,.000,68,110,.618,.607,23,35,.657,20,63,83,19,6,13,19,26,159
2012-13,30,WAS,NBA,PF,61,49,1659,285,594,.480,0,1,.000,285,593,.481,.480,196,269,.729,101,306,407,177,55,37,139,171,766
2013-14,31,WAS,NBA,PF,53,37,1560,299,594,.503,1,5,.200,298,589,.506,.504,155,266,.583,65,229,294,153,64,47,117,164,754
2014-15,32,WAS,NBA,PF,67,58,1693,307,601,.511,1,5,.200,306,596,.513,.512,122,202,.604,84,261,345,123,66,22,124,180,737
2015-16,33,WAS,NBA,PF,6,0,108,15,28,.536,0,0,,15,28,.536,.536,9,18,.500,5,24,29,11,5,0,7,19,39
Career,,,NBA,,753,601,21749,3540,6513,.544,4,36,.111,3536,6477,.546,.544,2239,3346,.669,1458,3559,5017,1497,890,627,1497,2424,9323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 seasons,,DEN,NBA,,555,451,16445,2566,4584,.560,2,23,.087,2564,4561,.562,.560,1734,2556,.678,1183,2676,3859,1014,694,508,1091,1864,6868
5 seasons,,WAS,NBA,,198,150,5304,974,1929,.505,2,13,.154,972,1916,.507,.505,505,790,.639,275,883,1158,483,196,119,406,560,2455
