<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,19,CLE,NBA,SG,79,79,3122,622,1492,.417,63,217,.290,559,1275,.438,.438,347,460,.754,99,333,432,465,130,58,273,149,1654
2004-05&nbsp;★,20,CLE,NBA,SF,80,80,3388,795,1684,.472,108,308,.351,687,1376,.499,.504,477,636,.750,111,477,588,577,177,52,262,146,2175
2005-06&nbsp;★,21,CLE,NBA,SF,79,79,3361,875,1823,.480,127,379,.335,748,1444,.518,.515,601,814,.738,75,481,556,521,123,66,260,181,2478
2006-07&nbsp;★,22,CLE,NBA,SF,78,78,3190,772,1621,.476,99,310,.319,673,1311,.513,.507,489,701,.698,83,443,526,470,125,55,250,171,2132
2007-08&nbsp;★,23,CLE,NBA,SF,75,74,3027,794,1642,.484,113,359,.315,681,1283,.531,.518,549,771,.712,133,459,592,539,138,81,255,165,2250
2008-09&nbsp;★,24,CLE,NBA,SF,81,81,3054,789,1613,.489,132,384,.344,657,1229,.535,.530,594,762,.780,106,507,613,587,137,93,241,139,2304
2009-10&nbsp;★,25,CLE,NBA,SF,76,76,2966,768,1528,.503,129,387,.333,639,1141,.560,.545,593,773,.767,71,483,554,651,125,77,261,119,2258
2010-11&nbsp;★,26,MIA,NBA,SF,79,79,3063,758,1485,.510,92,279,.330,666,1206,.552,.541,503,663,.759,80,510,590,554,124,50,284,163,2111
2011-12&nbsp;★,27,MIA,NBA,SF,62,62,2326,621,1169,.531,54,149,.362,567,1020,.556,.554,387,502,.771,94,398,492,387,115,50,213,96,1683
2012-13&nbsp;★,28,MIA,NBA,PF,76,76,2877,765,1354,.565,103,254,.406,662,1100,.602,.603,403,535,.753,97,513,610,551,129,67,226,110,2036
2013-14&nbsp;★,29,MIA,NBA,PF,77,77,2902,767,1353,.567,116,306,.379,651,1047,.622,.610,439,585,.750,81,452,533,488,121,26,270,126,2089
2014-15&nbsp;★,30,CLE,NBA,SF,69,69,2493,624,1279,.488,120,339,.354,504,940,.536,.535,375,528,.710,51,365,416,511,109,49,272,135,1743
2015-16,31,CLE,NBA,SF,18,18,657,172,349,.493,21,73,.288,151,276,.547,.523,95,137,.693,27,114,141,116,23,10,62,34,460
Career,,,NBA,,929,928,36426,9122,18392,.496,1277,3744,.341,7845,14648,.536,.531,5852,7867,.744,1108,5535,6643,6417,1576,734,3129,1734,25373
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 seasons,,CLE,NBA,,635,634,25258,6211,13031,.477,912,2756,.331,5299,10275,.516,.512,4120,5582,.738,756,3662,4418,4437,1087,541,2136,1239,17454
4 seasons,,MIA,NBA,,294,294,11168,2911,5361,.543,365,988,.369,2546,4373,.582,.577,1732,2285,.758,352,1873,2225,1980,489,193,993,495,7919
