<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,21,DAL,NBA,PG,76,19,1173,157,366,.429,44,131,.336,113,235,.481,.489,78,103,.757,28,74,102,169,77,19,82,139,436
2005-06,22,DAL,NBA,PG,56,4,1275,190,405,.469,5,21,.238,185,384,.482,.475,169,236,.716,26,99,125,177,53,16,84,121,554
2006-07,23,DAL,NBA,PG,80,61,2081,292,593,.492,14,50,.280,278,543,.512,.504,215,261,.824,45,151,196,296,96,21,146,242,813
2007-08,24,TOT,NBA,PG,64,61,2022,321,693,.463,56,167,.335,265,526,.504,.504,248,301,.824,28,145,173,369,90,10,161,190,946
2007-08,24,DAL,NBA,PG,39,39,1184,187,387,.483,25,70,.357,162,317,.511,.516,161,196,.821,17,74,91,206,56,2,93,127,560
2007-08,24,NJN,NBA,PG,25,22,838,134,306,.438,31,97,.320,103,209,.493,.489,87,105,.829,11,71,82,163,34,8,68,63,386
2008-09&nbsp;★,25,NJN,NBA,PG,69,69,2494,455,1039,.438,64,220,.291,391,819,.477,.469,496,605,.820,30,201,231,476,114,13,212,164,1470
2009-10,26,NJN,NBA,PG,64,61,2221,356,884,.403,60,217,.276,296,667,.444,.437,308,386,.798,24,179,203,423,79,18,181,178,1080
2010-11,27,TOT,NBA,PG,71,70,2254,343,813,.422,58,180,.322,285,633,.450,.458,335,402,.833,17,152,169,503,70,7,207,163,1079
2010-11,27,NJN,NBA,PG,54,54,1724,260,612,.425,33,110,.300,227,502,.452,.452,258,307,.840,11,118,129,411,57,5,158,130,811
2010-11,27,UTA,NBA,PG,17,16,530,83,201,.413,25,70,.357,58,131,.443,.475,77,95,.811,6,34,40,92,13,2,49,33,268
2011-12,28,UTA,NBA,PG,63,63,1741,241,542,.445,77,213,.362,164,329,.498,.516,156,209,.746,12,100,112,316,64,13,122,136,715
2012-13,29,ATL,NBA,SG,58,34,1421,194,443,.438,77,230,.335,117,213,.549,.525,112,154,.727,6,110,116,197,64,13,88,103,577
2013-14,30,DAL,NBA,PG,40,0,818,96,254,.378,31,101,.307,65,153,.425,.439,92,115,.800,8,77,85,178,28,2,59,72,315
2014-15,31,DAL,NBA,PG,76,3,1685,219,524,.418,95,266,.357,124,258,.481,.509,132,162,.815,13,122,135,237,78,14,85,147,665
2015-16,32,DAL,NBA,PG,6,0,136,15,44,.341,3,19,.158,12,25,.480,.375,11,19,.579,3,16,19,14,7,2,8,13,44
Career,,,NBA,,723,445,19321,2879,6600,.436,584,1815,.322,2295,4785,.480,.480,2352,2953,.796,240,1426,1666,3355,820,148,1435,1668,8694
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,DAL,NBA,,373,126,8352,1156,2573,.449,217,658,.330,939,1915,.490,.491,858,1092,.786,140,613,753,1277,395,76,557,861,3387
4 seasons,,NJN,NBA,,212,206,7277,1205,2841,.424,188,644,.292,1017,2197,.463,.457,1149,1403,.819,76,569,645,1473,284,44,619,535,3747
2 seasons,,UTA,NBA,,80,79,2271,324,743,.436,102,283,.360,222,460,.483,.505,233,304,.766,18,134,152,408,77,15,171,169,983
1 season,,ATL,NBA,,58,34,1421,194,443,.438,77,230,.335,117,213,.549,.525,112,154,.727,6,110,116,197,64,13,88,103,577
