<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,20,POR,NBA,PG,53,0,655,69,189,.365,7,27,.259,62,162,.383,.384,83,103,.806,8,49,57,78,16,2,56,81,228
2009-10,21,POR,NBA,SG,74,11,1304,200,483,.414,29,92,.315,171,391,.437,.444,201,242,.831,18,102,120,172,26,5,94,152,630
2010-11,22,TOT,NBA,PG,71,14,1496,218,517,.422,49,146,.336,169,371,.456,.469,166,206,.806,26,139,165,266,38,5,127,149,651
2010-11,22,NOH,NBA,PG,11,0,149,17,49,.347,3,14,.214,14,35,.400,.378,13,17,.765,2,13,15,28,2,1,17,16,50
2010-11,22,TOR,NBA,PG,60,14,1347,201,468,.429,46,132,.348,155,336,.461,.479,153,189,.810,24,126,150,238,36,4,110,133,601
2011-12,23,TOR,NBA,PG,31,11,705,117,276,.424,44,104,.423,73,172,.424,.504,75,88,.852,8,58,66,118,24,4,53,70,353
2012-13,24,MEM,NBA,PG,80,4,1765,260,621,.419,71,201,.353,189,420,.450,.476,102,122,.836,22,154,176,264,59,17,120,168,693
2013-14,25,TOT,NBA,PG,72,19,1686,248,617,.402,76,212,.358,172,405,.425,.464,94,118,.797,22,123,145,194,60,9,82,161,666
2013-14,25,MEM,NBA,PG,31,5,650,90,239,.377,25,83,.301,65,156,.417,.429,45,57,.789,8,51,59,66,20,5,22,72,250
2013-14,25,BOS,NBA,PG,41,14,1036,158,378,.418,51,129,.395,107,249,.430,.485,49,61,.803,14,72,86,128,40,4,60,89,416
2014-15,26,MIL,NBA,PG,77,4,1717,220,516,.426,37,120,.308,183,396,.462,.462,121,137,.883,22,189,211,233,59,12,133,163,598
2015-16,27,MIL,NBA,SG,5,3,156,16,41,.390,9,20,.450,7,21,.333,.500,10,14,.714,2,12,14,13,3,1,10,8,51
Career,,,NBA,,463,66,9484,1348,3260,.413,322,922,.349,1026,2338,.439,.463,852,1030,.827,128,826,954,1338,285,55,675,952,3870
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,POR,NBA,,127,11,1959,269,672,.400,36,119,.303,233,553,.421,.427,284,345,.823,26,151,177,250,42,7,150,233,858
2 seasons,,MEM,NBA,,111,9,2415,350,860,.407,96,284,.338,254,576,.441,.463,147,179,.821,30,205,235,330,79,22,142,240,943
2 seasons,,TOR,NBA,,91,25,2052,318,744,.427,90,236,.381,228,508,.449,.488,228,277,.823,32,184,216,356,60,8,163,203,954
2 seasons,,MIL,NBA,,82,7,1873,236,557,.424,46,140,.329,190,417,.456,.465,131,151,.868,24,201,225,246,62,13,143,171,649
1 season,,BOS,NBA,,41,14,1036,158,378,.418,51,129,.395,107,249,.430,.485,49,61,.803,14,72,86,128,40,4,60,89,416
1 season,,NOH,NBA,,11,0,149,17,49,.347,3,14,.214,14,35,.400,.378,13,17,.765,2,13,15,28,2,1,17,16,50
