Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
1,1,2014-10-29,32-285,MIA,,WAS,W (+12),1,31:26,8,16,.500,2,3,.667,3,3,1.000,0,1,1,3,2,0,2,2,21,14.6,+9,wadedw01
2,2,2014-11-01,32-288,MIA,@,PHI,W (+18),1,32:36,4,18,.222,0,1,.000,1,3,.333,1,2,3,10,3,0,6,1,9,2.1,+13,wadedw01
3,3,2014-11-02,32-289,MIA,,TOR,W (+5),1,31:20,7,11,.636,1,1,1.000,4,6,.667,4,7,11,7,0,2,3,2,19,20.7,+10,wadedw01
4,4,2014-11-04,32-291,MIA,,HOU,L (-17),1,31:08,7,11,.636,0,2,.000,5,5,1.000,1,1,2,3,0,1,3,2,19,14.1,-19,wadedw01
5,5,2014-11-05,32-292,MIA,@,CHO,L (-7),1,33:12,9,18,.500,0,2,.000,7,8,.875,2,2,4,7,1,1,3,3,25,20.0,-1,wadedw01
6,6,2014-11-08,32-295,MIA,,MIN,W (+10),1,29:34,11,16,.688,0,0,,3,5,.600,0,1,1,8,2,0,2,0,25,23.3,+6,wadedw01
7,7,2014-11-09,32-296,MIA,@,DAL,W (+9),1,35:36,9,18,.500,1,1,1.000,1,2,.500,1,1,2,10,1,0,3,2,20,15.8,-7,wadedw01
8,8,2014-11-12,32-299,MIA,,IND,L (-6),1,34:35,8,16,.500,1,1,1.000,3,7,.429,1,3,4,3,1,1,1,0,20,14.8,-5,wadedw01
16,9,2014-11-30,32-317,MIA,@,NYK,W (+7),1,32:17,11,18,.611,0,1,.000,5,9,.556,4,1,5,5,0,0,7,1,27,16.4,+6,wadedw01
17,10,2014-12-01,32-318,MIA,@,WAS,L (-21),1,27:34,9,13,.692,0,0,,2,5,.400,0,3,3,0,1,0,2,2,20,12.4,-9,wadedw01
18,11,2014-12-03,32-320,MIA,,ATL,L (-10),1,34:28,11,20,.550,0,2,.000,6,9,.667,2,1,3,7,2,1,4,3,28,21.3,-8,wadedw01
19,12,2014-12-05,32-322,MIA,@,MIL,L (-24),1,33:33,10,18,.556,0,0,,8,10,.800,1,2,3,8,0,0,4,0,28,21.5,-10,wadedw01
20,13,2014-12-07,32-324,MIA,@,MEM,L (-16),1,34:59,11,20,.550,0,0,,3,5,.600,1,1,2,6,1,0,5,2,25,15.0,-7,wadedw01
21,14,2014-12-09,32-326,MIA,@,PHO,W (+6),1,34:20,7,15,.467,0,0,,2,4,.500,3,3,6,5,2,1,5,2,16,10.9,+12,wadedw01
22,15,2014-12-10,32-327,MIA,@,DEN,L (-20),1,28:09,4,15,.267,0,0,,2,2,1.000,1,2,3,5,0,0,3,1,10,2.5,-23,wadedw01
23,16,2014-12-12,32-329,MIA,@,UTA,W (+5),1,34:35,10,16,.625,1,1,1.000,8,12,.667,0,3,3,7,1,1,3,1,29,24.3,+11,wadedw01
24,17,2014-12-14,32-331,MIA,,CHI,L (-18),1,27:37,7,18,.389,1,2,.500,2,2,1.000,1,5,6,0,0,1,6,3,17,2.9,-22,wadedw01
25,18,2014-12-16,32-333,MIA,@,BRK,W (+4),1,36:06,12,24,.500,1,4,.250,3,4,.750,1,4,5,4,1,0,2,2,28,18.5,-9,wadedw01
26,19,2014-12-17,32-334,MIA,,UTA,L (-18),1,33:59,12,19,.632,2,3,.667,16,21,.762,1,3,4,3,0,0,6,5,42,27.2,-5,wadedw01
27,20,2014-12-19,32-336,MIA,,WAS,L (-2),1,36:37,12,26,.462,2,4,.500,2,5,.400,1,3,4,8,1,0,5,5,28,14.6,+6,wadedw01
29,21,2014-12-23,32-340,MIA,,PHI,L (-4),1,33:57,9,21,.429,0,3,.000,5,7,.714,2,3,5,6,0,0,3,2,23,13.8,-2,wadedw01
30,22,2014-12-25,32-342,MIA,,CLE,W (+10),1,36:40,12,28,.429,2,5,.400,5,5,1.000,1,4,5,5,2,1,1,0,31,23.3,+5,wadedw01
31,23,2014-12-27,32-344,MIA,,MEM,L (-8),1,35:31,11,17,.647,1,3,.333,2,2,1.000,0,3,3,7,4,2,1,3,25,26.5,-8,wadedw01
32,24,2014-12-29,32-346,MIA,,ORL,L (-1),1,30:49,7,14,.500,0,1,.000,11,11,1.000,1,2,3,6,1,0,3,0,25,21.5,+6,wadedw01
