<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,20,BOS,NBA,SG,32,3,374,66,138,.478,6,20,.300,60,118,.508,.500,29,37,.784,10,31,41,18,13,4,22,41,167
2006-07,21,BOS,NBA,SF,81,26,1780,310,739,.419,95,258,.368,215,481,.447,.484,128,159,.805,68,140,208,83,41,24,120,198,843
2007-08,22,TOT,NBA,SF,30,0,362,52,151,.344,15,39,.385,37,112,.330,.394,34,41,.829,13,51,64,29,8,4,32,45,153
2007-08,22,MIN,NBA,SF,29,0,358,49,148,.331,15,39,.385,34,109,.312,.382,34,41,.829,11,51,62,29,8,4,32,43,147
2007-08,22,HOU,NBA,SF,1,0,4,3,3,1.000,0,0,,3,3,1.000,1.000,0,0,,2,0,2,0,0,0,0,2,6
2008-09,23,DAL,NBA,SG,38,12,376,79,180,.439,14,46,.304,65,134,.485,.478,27,32,.844,14,40,54,15,10,5,33,51,199
2009-10,24,Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia)
2010-11,25,Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia),Did Not Play&nbsp;(other pro league—Russia)
2011-12,26,NJN,NBA,SF,31,2,781,154,320,.481,43,110,.391,111,210,.529,.548,49,65,.754,15,93,108,34,28,17,55,80,400
2012-13,27,IND,NBA,SF,60,7,1080,155,424,.366,59,188,.314,96,236,.407,.435,52,65,.800,31,110,141,50,19,23,53,64,421
2013-14,28,PHO,NBA,SG,82,48,2330,448,1006,.445,204,510,.400,244,496,.492,.547,195,230,.848,48,227,275,122,70,42,145,220,1295
2014-15,29,PHO,NBA,SG,74,4,1446,324,778,.416,137,387,.354,187,391,.478,.504,99,120,.825,33,153,186,91,42,12,104,145,884
2015-16,30,MIA,NBA,SG,3,0,65,10,31,.323,7,17,.412,3,14,.214,.435,4,4,1.000,0,2,2,1,0,0,3,7,31
Career,,,NBA,,431,102,8594,1598,3767,.424,580,1575,.368,1018,2192,.464,.501,617,753,.819,232,847,1079,443,231,131,567,851,4393
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,PHO,NBA,,156,52,3776,772,1784,.433,341,897,.380,431,887,.486,.528,294,350,.840,81,380,461,213,112,54,249,365,2179
2 seasons,,BOS,NBA,,113,29,2154,376,877,.429,101,278,.363,275,599,.459,.486,157,196,.801,78,171,249,101,54,28,142,239,1010
1 season,,IND,NBA,,60,7,1080,155,424,.366,59,188,.314,96,236,.407,.435,52,65,.800,31,110,141,50,19,23,53,64,421
1 season,,DAL,NBA,,38,12,376,79,180,.439,14,46,.304,65,134,.485,.478,27,32,.844,14,40,54,15,10,5,33,51,199
1 season,,NJN,NBA,,31,2,781,154,320,.481,43,110,.391,111,210,.529,.548,49,65,.754,15,93,108,34,28,17,55,80,400
1 season,,MIN,NBA,,29,0,358,49,148,.331,15,39,.385,34,109,.312,.382,34,41,.829,11,51,62,29,8,4,32,43,147
1 season,,MIA,NBA,,3,0,65,10,31,.323,7,17,.412,3,14,.214,.435,4,4,1.000,0,2,2,1,0,0,3,7,31
1 season,,HOU,NBA,,1,0,4,3,3,1.000,0,0,,3,3,1.000,1.000,0,0,,2,0,2,0,0,0,0,2,6
