<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,22,ORL,NBA,PG,42,0,622,80,195,.410,38,98,.388,42,97,.433,.508,54,60,.900,10,42,52,36,12,0,21,52,252
2007-08,23,ORL,NBA,SG,34,0,276,48,108,.444,17,43,.395,31,65,.477,.523,27,34,.794,1,22,23,16,4,0,15,29,140
2008-09,24,ORL,NBA,SG,64,5,1111,117,299,.391,67,179,.374,50,120,.417,.503,81,93,.871,8,101,109,73,21,1,54,72,382
2009-10,25,ORL,NBA,SG,82,9,1808,243,553,.439,111,274,.405,132,279,.473,.540,191,222,.860,17,138,155,158,28,4,63,118,788
2010-11,26,ORL,NBA,SG,59,5,1513,197,447,.441,87,219,.397,110,228,.482,.538,112,128,.875,6,107,113,102,29,3,53,80,593
2011-12,27,ORL,NBA,SG,65,22,1765,248,584,.425,112,268,.418,136,316,.430,.521,143,157,.911,18,132,150,164,27,6,68,92,751
2012-13,28,TOT,NBA,SG,78,13,2379,382,880,.434,165,451,.366,217,429,.506,.528,171,190,.900,17,154,171,296,38,9,138,117,1100
2012-13,28,ORL,NBA,SG,50,11,1575,262,582,.450,117,300,.390,145,282,.514,.551,115,129,.891,9,110,119,220,29,5,105,70,756
2012-13,28,MIL,NBA,SG,28,2,804,120,298,.403,48,151,.318,72,147,.490,.483,56,61,.918,8,44,52,76,9,4,33,47,344
2013-14,29,LAC,NBA,SG,35,34,987,181,398,.455,73,185,.395,108,213,.507,.546,97,106,.915,9,65,74,78,28,3,42,65,532
2014-15,30,LAC,NBA,SG,78,78,2409,447,938,.477,200,458,.437,247,480,.515,.583,183,203,.901,22,145,167,137,39,8,95,134,1277
2015-16,31,LAC,NBA,SG,16,16,416,76,159,.478,32,70,.457,44,89,.494,.579,31,36,.861,3,14,17,23,9,2,21,37,215
Career,,,NBA,,553,182,13286,2019,4561,.443,902,2245,.402,1117,2316,.482,.542,1090,1229,.887,111,920,1031,1083,235,36,570,796,6030
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,ORL,NBA,,396,52,8670,1195,2768,.432,549,1381,.398,646,1387,.466,.531,723,823,.878,69,652,721,769,150,19,379,513,3662
3 seasons,,LAC,NBA,,129,128,3812,704,1495,.471,305,713,.428,399,782,.510,.573,311,345,.901,34,224,258,238,76,13,158,236,2024
1 season,,MIL,NBA,,28,2,804,120,298,.403,48,151,.318,72,147,.490,.483,56,61,.918,8,44,52,76,9,4,33,47,344
