<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,23,ORL,NBA,SG,77,42,1939,243,540,.450,82,203,.404,161,337,.478,.526,78,94,.830,18,160,178,91,76,14,69,157,646
2009-10,24,NJN,NBA,SG,71,66,2375,338,775,.436,76,225,.338,262,550,.476,.485,133,153,.869,60,192,252,121,93,20,76,130,885
2010-11,25,HOU,NBA,SG,81,1,1723,253,576,.439,71,174,.408,182,402,.453,.501,95,120,.792,51,158,209,100,58,18,68,102,672
2011-12,26,HOU,NBA,SG,58,26,1757,251,580,.433,87,217,.401,164,363,.452,.508,71,86,.826,26,133,159,88,68,22,64,106,660
2012-13,27,BOS,NBA,SG,78,39,1941,246,530,.464,58,156,.372,188,374,.503,.519,62,72,.861,31,159,190,143,89,21,84,139,612
2013-14,28,TOT,NBA,SG,79,47,1973,295,614,.480,72,194,.371,223,420,.531,.539,99,112,.884,29,158,187,115,65,28,73,127,761
2013-14,28,BOS,NBA,SG,30,0,504,90,183,.492,23,52,.442,67,131,.511,.555,18,22,.818,8,41,49,32,20,9,25,37,221
2013-14,28,MEM,NBA,SG,49,47,1469,205,431,.476,49,142,.345,156,289,.540,.532,81,90,.900,21,117,138,83,45,19,48,90,540
2014-15,29,MEM,NBA,SG,77,74,2354,288,643,.448,90,224,.402,198,419,.473,.518,111,129,.860,21,157,178,151,75,12,78,129,777
2015-16,30,MEM,NBA,SG,19,10,526,65,161,.404,11,50,.220,54,111,.486,.438,32,35,.914,11,43,54,22,23,5,18,31,173
Career,,,NBA,,540,305,14588,1979,4419,.448,547,1443,.379,1432,2976,.481,.510,681,801,.850,247,1160,1407,831,547,140,530,921,5186
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MEM,NBA,,145,131,4349,558,1235,.452,150,416,.361,408,819,.498,.513,224,254,.882,53,317,370,256,143,36,144,250,1490
2 seasons,,HOU,NBA,,139,27,3480,504,1156,.436,158,391,.404,346,765,.452,.504,166,206,.806,77,291,368,188,126,40,132,208,1332
2 seasons,,BOS,NBA,,108,39,2445,336,713,.471,81,208,.389,255,505,.505,.528,80,94,.851,39,200,239,175,109,30,109,176,833
1 season,,ORL,NBA,,77,42,1939,243,540,.450,82,203,.404,161,337,.478,.526,78,94,.830,18,160,178,91,76,14,69,157,646
1 season,,NJN,NBA,,71,66,2375,338,775,.436,76,225,.338,262,550,.476,.485,133,153,.869,60,192,252,121,93,20,76,130,885
