<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,19,BOS,NBA,C,10,0,35,8,15,.533,0,0,,8,15,.533,.533,6,9,.667,5,9,14,3,0,2,5,6,22
2004-05,20,BOS,NBA,C,60,3,548,56,119,.471,0,0,,56,119,.471,.471,37,58,.638,53,123,176,21,9,37,43,98,149
2005-06,21,BOS,NBA,C,68,40,1332,137,266,.515,0,2,.000,137,264,.519,.515,80,130,.615,140,264,404,69,21,105,107,199,354
2006-07,22,BOS,NBA,C,72,53,1576,132,269,.491,0,3,.000,132,266,.496,.491,60,100,.600,113,259,372,94,23,96,113,214,324
2007-08,23,BOS,NBA,C,78,78,1912,214,348,.615,0,1,.000,214,347,.617,.615,114,183,.623,145,329,474,84,31,114,125,242,542
2008-09,24,BOS,NBA,C,76,76,2253,276,478,.577,0,2,.000,276,476,.580,.577,96,160,.600,204,415,619,96,22,150,165,253,648
2009-10,25,BOS,NBA,C,78,78,2154,314,522,.602,0,3,.000,314,519,.605,.602,163,280,.582,155,440,595,80,26,132,165,219,791
2010-11,26,TOT,NBA,C,29,24,742,67,130,.515,0,0,,67,130,.515,.515,40,72,.556,62,170,232,26,9,26,56,91,174
2010-11,26,BOS,NBA,C,12,7,313,32,59,.542,0,0,,32,59,.542,.542,23,40,.575,23,74,97,10,2,10,25,37,87
2010-11,26,OKC,NBA,C,17,17,429,35,71,.493,0,0,,35,71,.493,.493,17,32,.531,39,96,135,16,7,16,31,54,87
2011-12,27,OKC,NBA,C,65,65,1744,128,262,.489,0,0,,128,262,.489,.489,73,112,.652,120,306,426,78,25,73,118,189,329
2012-13,28,OKC,NBA,C,78,78,1954,143,313,.457,0,1,.000,143,312,.458,.457,44,72,.611,110,356,466,111,43,83,109,227,330
2013-14,29,OKC,NBA,C,62,62,1207,87,193,.451,0,1,.000,87,192,.453,.451,37,67,.552,82,223,305,67,26,32,90,177,211
2014-15,30,TOT,NBA,C,68,3,1148,102,227,.449,0,1,.000,102,226,.451,.449,42,83,.506,91,229,320,51,16,42,95,162,246
2014-15,30,OKC,NBA,C,51,3,981,82,186,.441,0,1,.000,82,185,.443,.441,38,75,.507,80,199,279,43,14,38,74,135,202
2014-15,30,CLE,NBA,C,17,0,167,20,41,.488,0,0,,20,41,.488,.488,4,8,.500,11,30,41,8,2,4,21,27,44
2015-16,31,NOP,NBA,C,3,2,28,8,10,.800,0,0,,8,10,.800,.800,0,0,,1,7,8,2,0,0,0,2,16
Career,,,NBA,,747,562,16633,1672,3152,.530,0,14,.000,1672,3138,.533,.530,792,1326,.597,1281,3130,4411,782,251,892,1191,2079,4136
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,BOS,NBA,,454,335,10123,1169,2076,.563,0,11,.000,1169,2065,.566,.563,579,960,.603,838,1913,2751,457,134,646,748,1268,2917
5 seasons,,OKC,NBA,,273,225,6315,475,1025,.463,0,3,.000,475,1022,.465,.463,209,358,.584,431,1180,1611,315,115,242,422,782,1159
1 season,,CLE,NBA,,17,0,167,20,41,.488,0,0,,20,41,.488,.488,4,8,.500,11,30,41,8,2,4,21,27,44
1 season,,NOP,NBA,,3,2,28,8,10,.800,0,0,,8,10,.800,.800,0,0,,1,7,8,2,0,0,0,2,16
