<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,23,TOT,NBA,SG,27,4,334,44,101,.436,13,37,.351,31,64,.484,.500,35,50,.700,6,25,31,21,13,6,27,42,136
2009-10,23,HOU,NBA,SG,9,0,118,13,29,.448,3,12,.250,10,17,.588,.500,16,24,.667,2,12,14,7,4,4,14,16,45
2009-10,23,SAC,NBA,SG,5,0,23,3,8,.375,0,2,.000,3,6,.500,.375,5,5,1.000,1,2,3,2,1,0,2,1,11
2009-10,23,SAS,NBA,SG,13,4,193,28,64,.438,10,23,.435,18,41,.439,.516,14,21,.667,3,11,14,12,8,2,11,25,80
2010-11,24,TOT,NBA,PG-SG,24,0,230,20,68,.294,10,37,.270,10,31,.323,.368,7,17,.412,1,22,23,32,11,6,23,24,57
2010-11,24,SAS,NBA,SG,3,0,21,1,5,.200,0,1,.000,1,4,.250,.200,0,2,.000,1,1,2,2,1,1,1,2,2
2010-11,24,MIL,NBA,SG,9,0,83,7,21,.333,3,10,.300,4,11,.364,.405,0,4,.000,0,6,6,6,1,1,2,8,17
2010-11,24,CHA,NBA,PG,12,0,126,12,42,.286,7,26,.269,5,16,.313,.369,7,11,.636,0,15,15,24,9,4,20,14,38
2011-12,25,Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy),Did Not Play&nbsp;(other pro league—Italy)
2012-13,26,WAS,NBA,SG,51,36,1156,105,258,.407,26,80,.325,79,178,.444,.457,26,37,.703,29,94,123,115,50,17,61,94,262
2013-14,27,WAS,NBA,SG,75,0,638,51,141,.362,6,29,.207,45,112,.402,.383,30,43,.698,21,47,68,72,35,11,42,72,138
2014-15,28,WAS,NBA,SG,52,18,735,68,170,.400,33,88,.375,35,82,.427,.497,35,48,.729,24,66,90,56,42,9,34,76,204
2015-16,29,WAS,NBA,SF,14,2,221,21,64,.328,8,32,.250,13,32,.406,.391,20,29,.690,7,26,33,13,12,1,8,18,70
Career,,,NBA,,243,60,3314,309,802,.385,96,303,.317,213,499,.427,.445,153,224,.683,88,280,368,309,163,50,195,326,867
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,WAS,NBA,,192,56,2750,245,633,.387,73,229,.319,172,404,.426,.445,111,157,.707,81,233,314,256,139,38,145,260,674
2 seasons,,SAS,NBA,,16,4,214,29,69,.420,10,24,.417,19,45,.422,.493,14,23,.609,4,12,16,14,9,3,12,27,82
1 season,,CHA,NBA,,12,0,126,12,42,.286,7,26,.269,5,16,.313,.369,7,11,.636,0,15,15,24,9,4,20,14,38
1 season,,HOU,NBA,,9,0,118,13,29,.448,3,12,.250,10,17,.588,.500,16,24,.667,2,12,14,7,4,4,14,16,45
1 season,,MIL,NBA,,9,0,83,7,21,.333,3,10,.300,4,11,.364,.405,0,4,.000,0,6,6,6,1,1,2,8,17
1 season,,SAC,NBA,,5,0,23,3,8,.375,0,2,.000,3,6,.500,.375,5,5,1.000,1,2,3,2,1,0,2,1,11
