<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,19,ATL,NBA,PF,79,7,1952,235,531,.443,13,53,.245,222,478,.464,.455,189,253,.747,122,261,383,63,48,24,83,227,672
2006-07,20,ATL,NBA,PF,64,63,2179,306,706,.433,11,45,.244,295,661,.446,.441,216,265,.815,84,253,337,121,52,30,127,191,839
2007-08,21,ATL,NBA,SF,80,80,2765,424,918,.462,1,10,.100,423,908,.466,.462,336,409,.822,119,338,457,137,81,33,127,225,1185
2008-09,22,ATL,NBA,SF,61,59,2093,285,622,.458,55,155,.355,230,467,.493,.502,220,273,.806,110,272,382,81,57,39,70,127,845
2009-10,23,ATL,NBA,SF,81,81,2468,302,664,.455,40,132,.303,262,532,.492,.485,176,215,.819,106,310,416,93,66,46,72,160,820
2010-11,24,ATL,NBA,SF,65,52,1865,246,537,.458,37,110,.336,209,427,.489,.493,147,174,.845,68,245,313,88,34,23,62,104,676
2011-12,25,ATL,NBA,SF,57,37,1500,203,470,.432,58,149,.389,145,321,.452,.494,115,146,.788,76,218,294,71,47,18,39,84,579
2012-13,26,UTA,NBA,SF,73,51,1727,199,470,.423,54,166,.325,145,304,.477,.481,77,99,.778,55,208,263,77,37,38,60,98,529
2013-14,27,UTA,NBA,PF,66,50,1674,231,526,.439,84,234,.359,147,292,.503,.519,57,73,.781,82,252,334,78,54,31,53,151,603
2014-15,28,CHO,NBA,PF,78,37,2035,210,495,.424,95,265,.358,115,230,.500,.520,62,87,.713,58,328,386,100,69,36,60,146,577
2015-16,29,CHO,NBA,PF,18,18,572,65,146,.445,29,75,.387,36,71,.507,.545,23,26,.885,29,96,125,26,12,22,15,31,182
Career,,,NBA,,722,535,20830,2706,6085,.445,477,1394,.342,2229,4691,.475,.484,1618,2020,.801,909,2781,3690,935,557,340,768,1544,7507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,ATL,NBA,,487,379,14822,2001,4448,.450,215,654,.329,1786,3794,.471,.474,1399,1735,.806,685,1897,2582,654,385,213,580,1118,5616
2 seasons,,UTA,NBA,,139,101,3401,430,996,.432,138,400,.345,292,596,.490,.501,134,172,.779,137,460,597,155,91,69,113,249,1132
2 seasons,,CHO,NBA,,96,55,2607,275,641,.429,124,340,.365,151,301,.502,.526,85,113,.752,87,424,511,126,81,58,75,177,759
