<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,22,BOS,NBA,C,69,1,940,107,221,.484,0,0,,107,221,.484,.484,99,150,.660,95,113,208,28,31,20,65,160,313
2008-09,23,BOS,NBA,C,76,16,1637,199,450,.442,2,5,.400,197,445,.443,.444,130,178,.730,121,180,301,69,53,19,71,230,530
2009-10,24,BOS,NBA,PF,54,1,933,122,279,.437,0,4,.000,122,275,.444,.437,96,138,.696,101,104,205,35,21,14,53,132,340
2010-11,25,BOS,NBA,C,78,13,2298,359,801,.448,2,15,.133,357,786,.454,.449,195,265,.736,101,324,425,92,78,30,85,231,915
2011-12,26,ORL,NBA,PF,61,13,1427,225,534,.421,2,14,.143,223,520,.429,.423,114,167,.683,107,224,331,47,43,19,75,106,566
2012-13,27,ORL,NBA,PF,34,33,1064,214,478,.448,0,2,.000,214,476,.450,.448,84,117,.718,55,191,246,70,32,21,64,88,512
2013-14,28,TOT,NBA,PF,68,44,1662,271,593,.457,4,11,.364,267,582,.459,.460,95,137,.693,108,243,351,77,58,29,76,159,641
2013-14,28,ORL,NBA,PF,45,43,1354,232,512,.453,4,10,.400,228,502,.454,.457,77,114,.675,87,195,282,70,46,22,59,111,545
2013-14,28,LAC,NBA,PF,23,1,308,39,81,.481,0,1,.000,39,80,.488,.481,18,23,.783,21,48,69,7,12,7,17,48,96
2014-15,29,LAC,NBA,PF,74,0,904,117,255,.459,0,4,.000,117,251,.466,.459,60,95,.632,43,126,169,39,41,21,39,132,294
Career,,,NBA,,514,121,10865,1614,3611,.447,10,55,.182,1604,3556,.451,.448,873,1247,.700,731,1505,2236,457,357,173,528,1238,4111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,BOS,NBA,,277,31,5808,787,1751,.449,4,24,.167,783,1727,.453,.451,520,731,.711,418,721,1139,224,183,83,274,753,2098
3 seasons,,ORL,NBA,,140,89,3845,671,1524,.440,6,26,.231,665,1498,.444,.442,275,398,.691,249,610,859,187,121,62,198,305,1623
2 seasons,,LAC,NBA,,97,1,1212,156,336,.464,0,5,.000,156,331,.471,.464,78,118,.661,64,174,238,46,53,28,56,180,390
