<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,21,WAS,NBA,C,75,14,1143,191,387,.494,0,0,,191,387,.494,.494,107,162,.660,120,174,294,23,33,75,61,155,489
2009-10,22,WAS,NBA,C,60,19,968,156,307,.508,0,1,.000,156,306,.510,.508,74,116,.638,88,155,243,14,16,101,51,122,386
2010-11,23,WAS,NBA,C,79,75,2193,332,604,.550,0,3,.000,332,601,.552,.550,134,230,.583,223,411,634,38,41,193,102,232,798
2011-12,24,TOT,NBA,C,61,45,1535,307,552,.556,0,0,,307,552,.556,.556,77,167,.461,163,314,477,31,35,132,87,166,691
2011-12,24,WAS,NBA,C,41,40,1124,214,400,.535,0,0,,214,400,.535,.535,58,116,.500,127,235,362,25,25,101,68,118,486
2011-12,24,DEN,NBA,C,20,5,411,93,152,.612,0,0,,93,152,.612,.612,19,51,.373,36,79,115,6,10,31,19,48,205
2012-13,25,DEN,NBA,C,79,0,1433,303,527,.575,1,1,1.000,302,526,.574,.576,110,186,.591,158,223,381,24,30,157,90,184,717
2013-14,26,DEN,NBA,C,5,5,79,17,38,.447,0,0,,17,38,.447,.447,1,1,1.000,10,7,17,2,1,7,8,16,35
2014-15,27,TOT,NBA,C,23,0,256,42,79,.532,0,0,,42,79,.532,.532,22,33,.667,18,43,61,3,2,20,18,30,106
2014-15,27,DEN,NBA,C,17,0,195,34,61,.557,0,0,,34,61,.557,.557,20,29,.690,14,34,48,1,2,19,13,28,88
2014-15,27,PHI,NBA,C,6,0,61,8,18,.444,0,0,,8,18,.444,.444,2,4,.500,4,9,13,2,0,1,5,2,18
2015-16,28,DAL,NBA,C,4,0,42,12,20,.600,0,0,,12,20,.600,.600,2,6,.333,7,11,18,0,0,0,4,6,26
Career,,,NBA,,386,158,7649,1360,2514,.541,1,5,.200,1359,2509,.542,.541,527,901,.585,787,1338,2125,135,158,685,421,911,3248
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,WAS,NBA,,255,148,5428,893,1698,.526,0,4,.000,893,1694,.527,.526,373,624,.598,558,975,1533,100,115,470,282,627,2159
4 seasons,,DEN,NBA,,121,10,2118,447,778,.575,1,1,1.000,446,777,.574,.575,150,267,.562,218,343,561,33,43,214,130,276,1045
1 season,,PHI,NBA,,6,0,61,8,18,.444,0,0,,8,18,.444,.444,2,4,.500,4,9,13,2,0,1,5,2,18
1 season,,DAL,NBA,,4,0,42,12,20,.600,0,0,,12,20,.600,.600,2,6,.333,7,11,18,0,0,0,4,6,26
