<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,21,PHI,NBA,C,79,2,1263,252,502,.502,2,8,.250,250,494,.506,.504,102,132,.773,123,170,293,30,27,56,46,181,608
2009-10,22,PHI,NBA,C,62,1,1016,212,444,.477,0,5,.000,212,439,.483,.477,108,145,.745,85,167,252,36,29,34,51,152,532
2010-11,23,PHI,NBA,C,64,1,734,144,291,.495,1,4,.250,143,287,.498,.497,55,73,.753,64,146,210,30,8,19,40,120,344
2011-12,24,MEM,NBA,PF,60,54,1345,221,488,.453,0,3,.000,221,485,.456,.453,84,109,.771,133,241,374,48,21,29,74,147,526
2012-13,25,TOT,NBA,C,79,3,1300,260,584,.445,3,10,.300,257,574,.448,.448,135,175,.771,146,240,386,47,24,53,80,175,658
2012-13,25,MEM,NBA,C,40,2,579,106,247,.429,2,5,.400,104,242,.430,.433,48,67,.716,76,113,189,18,10,27,35,86,262
2012-13,25,CLE,NBA,C,39,1,721,154,337,.457,1,5,.200,153,332,.461,.458,87,108,.806,70,127,197,29,14,26,45,89,396
2013-14,26,GSW,NBA,C,79,3,982,195,442,.441,8,31,.258,187,411,.455,.450,110,134,.821,101,189,290,32,10,34,66,148,508
2014-15,27,GSW,NBA,PF,76,9,1207,318,646,.492,5,18,.278,313,628,.498,.496,150,178,.843,109,216,325,72,20,34,82,189,791
2015-16,28,GSW,NBA,PF,16,0,165,31,88,.352,1,5,.200,30,83,.361,.358,19,26,.731,17,39,56,10,3,6,16,26,82
Career,,,NBA,,515,73,8012,1633,3485,.469,20,84,.238,1613,3401,.474,.471,763,972,.785,778,1408,2186,305,142,265,455,1138,4049
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,PHI,NBA,,205,4,3013,608,1237,.492,3,17,.176,605,1220,.496,.493,265,350,.757,272,483,755,96,64,109,137,453,1484
3 seasons,,GSW,NBA,,171,12,2354,544,1176,.463,14,54,.259,530,1122,.472,.469,279,338,.825,227,444,671,114,33,74,164,363,1381
2 seasons,,MEM,NBA,,100,56,1924,327,735,.445,2,8,.250,325,727,.447,.446,132,176,.750,209,354,563,66,31,56,109,233,788
1 season,,CLE,NBA,,39,1,721,154,337,.457,1,5,.200,153,332,.461,.458,87,108,.806,70,127,197,29,14,26,45,89,396
