<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,21,TOR,NBA,PF,65,17,1602,215,373,.576,0,0,,215,373,.576,.576,71,128,.555,168,294,462,40,39,67,48,183,501
2011-12,22,TOR,NBA,PF,66,9,1534,172,335,.513,0,1,.000,172,334,.515,.513,71,106,.670,134,304,438,60,40,63,67,156,415
2012-13,23,TOT,NBA,C-PF,81,28,1631,260,482,.539,0,0,,260,482,.539,.539,103,167,.617,152,308,460,63,38,85,63,191,623
2012-13,23,TOR,NBA,C,45,24,1087,186,339,.549,0,0,,186,339,.549,.549,66,102,.647,95,205,300,55,25,38,45,111,438
2012-13,23,MEM,NBA,PF,36,4,544,74,143,.517,0,0,,74,143,.517,.517,37,65,.569,57,103,160,8,13,47,18,80,185
2013-14,24,MEM,NBA,PF,63,4,956,155,290,.534,0,0,,155,290,.534,.534,47,89,.528,92,168,260,27,17,43,40,114,357
2014-15,25,LAL,NBA,PF,79,24,1840,282,469,.601,0,0,,282,469,.601,.601,92,189,.487,230,370,600,94,49,98,58,202,656
2015-16,26,POR,NBA,PF,6,0,132,14,23,.609,0,0,,14,23,.609,.609,8,18,.444,13,36,49,5,3,4,4,18,36
Career,,,NBA,,360,82,7695,1098,1972,.557,0,1,.000,1098,1971,.557,.557,392,697,.562,789,1480,2269,289,186,360,280,864,2588
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,TOR,NBA,,176,50,4223,573,1047,.547,0,1,.000,573,1046,.548,.547,208,336,.619,397,803,1200,155,104,168,160,450,1354
2 seasons,,MEM,NBA,,99,8,1500,229,433,.529,0,0,,229,433,.529,.529,84,154,.545,149,271,420,35,30,90,58,194,542
1 season,,LAL,NBA,,79,24,1840,282,469,.601,0,0,,282,469,.601,.601,92,189,.487,230,370,600,94,49,98,58,202,656
1 season,,POR,NBA,,6,0,132,14,23,.609,0,0,,14,23,.609,.609,8,18,.444,13,36,49,5,3,4,4,18,36
