<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,20,SAC,NBA,SG,72,72,2677,533,1165,.458,36,141,.255,497,1024,.485,.473,348,465,.748,66,314,380,414,109,26,216,204,1450
2010-11,21,SAC,NBA,SG,57,53,2107,382,933,.409,43,148,.291,339,785,.432,.432,205,266,.771,46,229,275,319,85,30,184,143,1012
2011-12,22,SAC,NBA,SG,63,61,2162,408,900,.453,20,99,.202,388,801,.484,.464,201,258,.779,64,225,289,283,84,29,171,136,1037
2012-13,23,SAC,NBA,SG,65,61,2016,366,765,.478,45,133,.338,321,632,.508,.508,210,271,.775,56,231,287,229,90,27,128,133,987
2013-14,24,NOP,NBA,SF,72,22,2028,391,897,.436,21,95,.221,370,802,.461,.448,239,310,.771,76,265,341,363,84,21,175,155,1042
2014-15,25,NOP,NBA,SF,79,76,2690,521,1165,.447,69,227,.304,452,938,.482,.477,202,291,.694,82,334,416,521,100,37,246,198,1313
Career,,,NBA,,408,345,13680,2601,5825,.447,234,843,.278,2367,4982,.475,.467,1405,1861,.755,390,1598,1988,2129,552,170,1120,969,6841
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SAC,NBA,,257,247,8962,1689,3763,.449,144,521,.276,1545,3242,.477,.468,964,1260,.765,232,999,1231,1245,368,112,699,616,4486
2 seasons,,NOP,NBA,,151,98,4718,912,2062,.442,90,322,.280,822,1740,.472,.464,441,601,.734,158,599,757,884,184,58,421,353,2355
