Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
44,41,2015-01-23,22-306,CLE,,CHO,W (+39),1,27:48,7,12,.583,3,4,.750,1,2,.500,1,3,4,2,1,1,1,2,18,14.9,+29,irvinky01
45,42,2015-01-25,22-308,CLE,,OKC,W (+10),1,41:18,9,21,.429,3,7,.429,0,0,,0,2,2,6,2,0,2,2,21,13.9,-3,irvinky01
46,43,2015-01-27,22-310,CLE,@,DET,W (+8),1,41:54,13,23,.565,6,10,.600,6,6,1.000,1,2,3,6,3,1,3,2,38,32.5,+8,irvinky01
47,44,2015-01-28,22-311,CLE,,POR,W (+5),1,38:35,17,36,.472,11,19,.579,10,10,1.000,2,2,4,5,2,0,3,0,55,41.1,+12,irvinky01
48,45,2015-01-30,22-313,CLE,,SAC,W (+11),1,31:42,8,13,.615,3,6,.500,2,4,.500,0,3,3,6,0,0,3,0,21,16.4,+20,irvinky01
49,46,2015-01-31,22-314,CLE,@,MIN,W (+16),1,32:35,4,16,.250,2,8,.250,2,3,.667,1,3,4,4,2,0,3,2,12,4.6,+7,irvinky01
50,47,2015-02-02,22-316,CLE,,PHI,W (+13),1,38:59,9,16,.563,3,8,.375,3,4,.750,1,4,5,5,0,0,5,1,24,16.0,+22,irvinky01
51,48,2015-02-05,22-319,CLE,,LAC,W (+11),1,31:58,1,5,.200,1,3,.333,7,7,1.000,2,4,6,4,0,0,1,3,10,10.1,+26,irvinky01
52,49,2015-02-06,22-320,CLE,@,IND,L (-4),1,39:19,13,26,.500,3,9,.333,0,0,,3,1,4,5,1,0,2,5,29,18.9,-5,irvinky01
53,50,2015-02-08,22-322,CLE,,LAL,W (+15),1,31:52,10,14,.714,5,8,.625,3,4,.750,0,4,4,10,1,0,1,4,28,28.4,+25,irvinky01
54,51,2015-02-11,22-325,CLE,,MIA,W (+20),1,38:00,5,14,.357,3,5,.600,2,2,1.000,2,2,4,6,2,0,3,2,15,11.6,+3,irvinky01
55,52,2015-02-12,22-326,CLE,@,CHI,L (-15),1,38:29,6,18,.333,1,3,.333,4,6,.667,3,3,6,7,1,1,1,1,17,14.2,-6,irvinky01
56,53,2015-02-20,22-334,CLE,@,WAS,W (+38),1,30:50,9,18,.500,1,4,.250,6,6,1.000,0,2,2,7,0,0,4,0,25,17.5,+20,irvinky01
57,54,2015-02-22,22-336,CLE,@,NYK,W (+18),1,26:41,6,10,.600,2,4,.500,4,4,1.000,1,1,2,2,1,0,2,1,18,14.4,+19,irvinky01
58,55,2015-02-24,22-338,CLE,@,DET,W (+9),1,34:24,6,16,.375,0,3,.000,6,6,1.000,0,2,2,5,1,0,3,4,18,9.7,-3,irvinky01
59,56,2015-02-26,22-340,CLE,,GSW,W (+11),1,37:50,6,17,.353,2,8,.250,10,10,1.000,1,2,3,1,2,0,2,1,24,16.1,+11,irvinky01
62,57,2015-03-03,22-345,CLE,,BOS,W (+31),1,25:54,6,10,.600,2,4,.500,4,4,1.000,0,2,2,5,2,0,2,2,18,16.7,+26,irvinky01
63,58,2015-03-04,22-346,CLE,@,TOR,W (+8),1,40:33,9,17,.529,1,5,.200,7,7,1.000,0,2,2,8,0,0,2,0,26,21.9,+10,irvinky01
64,59,2015-03-06,22-348,CLE,@,ATL,L (-9),1,42:06,7,16,.438,0,5,.000,6,7,.857,0,1,1,4,2,0,5,0,20,11.3,-3,irvinky01
65,60,2015-03-07,22-349,CLE,,PHO,W (+10),1,25:35,3,11,.273,0,0,,2,2,1.000,0,1,1,3,1,0,1,3,8,2.7,+5,irvinky01
66,61,2015-03-10,22-352,CLE,@,DAL,W (+33),1,34:49,6,13,.462,1,2,.500,9,10,.900,1,4,5,5,2,0,3,1,22,18.9,+21,irvinky01
67,62,2015-03-12,22-354,CLE,@,SAS,W (+3),1,46:34,20,32,.625,7,7,1.000,10,10,1.000,1,2,3,5,4,0,2,3,57,48.2,+5,irvinky01
68,63,2015-03-15,22-357,CLE,@,ORL,W (+15),1,34:36,12,15,.800,5,6,.833,4,6,.667,0,4,4,4,1,0,5,3,33,25.3,+10,irvinky01
69,64,2015-03-16,22-358,CLE,@,MIA,L (-14),1,34:29,5,15,.333,2,7,.286,9,11,.818,0,2,2,6,0,1,2,2,21,14.4,-18,irvinky01
70,65,2015-03-18,22-360,CLE,,BRK,W (+25),1,29:41,5,10,.500,1,1,1.000,1,2,.500,1,4,5,10,0,0,1,2,12,13.7,+11,irvinky01
71,66,2015-03-20,22-362,CLE,,IND,W (+3),1,32:45,4,16,.250,1,4,.250,4,4,1.000,3,1,4,3,0,0,1,4,13,5.3,+1,irvinky01
72,67,2015-03-22,22-364,CLE,@,MIL,W (+18),1,30:48,9,19,.474,1,5,.200,1,1,1.000,0,3,3,7,2,0,3,1,20,14.7,-5,irvinky01
73,68,2015-03-25,23-002,CLE,@,MEM,W (+22),1,35:16,9,21,.429,2,7,.286,4,5,.800,1,2,3,2,2,0,5,3,24,11.0,+10,irvinky01
74,69,2015-03-27,23-004,CLE,@,BRK,L (-8),1,38:28,10,22,.455,1,5,.200,5,5,1.000,0,2,2,3,1,2,1,1,26,18.3,+1,irvinky01
75,70,2015-03-29,23-006,CLE,,PHI,W (+1),1,38:15,7,18,.389,1,2,.500,2,3,.667,0,3,3,4,2,0,5,1,17,7.1,+3,irvinky01
76,71,2015-04-02,23-010,CLE,,MIA,W (+26),1,35:58,8,17,.471,3,7,.429,4,4,1.000,0,1,1,5,4,0,4,2,23,17.3,+15,irvinky01
77,72,2015-04-05,23-013,CLE,,CHI,W (+5),1,37:08,8,19,.421,4,5,.800,7,8,.875,2,3,5,4,3,1,5,2,27,19.5,+4,irvinky01
78,73,2015-04-08,23-016,CLE,@,MIL,W (+5),1,40:58,7,13,.538,4,8,.500,9,11,.818,3,1,4,9,3,0,6,3,27,24.4,+1,irvinky01
81,74,2015-04-13,23-021,CLE,,DET,W (+12),1,17:17,5,7,.714,2,3,.667,0,0,,2,1,3,3,1,0,0,1,12,13.5,+19,irvinky01
82,75,2015-04-15,23-023,CLE,,WAS,W (+5),1,17:52,4,9,.444,1,3,.333,0,0,,0,2,2,7,1,0,2,0,9,8.8,-13,irvinky01
