Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
1,1,2014-10-29,23-107,MIA,,WAS,W (+12),0,15:21,1,2,.500,0,1,.000,0,0,,1,2,3,2,1,0,1,0,2,3.7,+9,napiesh01
2,2,2014-11-01,23-110,MIA,@,PHI,W (+18),0,20:01,2,3,.667,1,2,.500,0,0,,0,3,3,4,2,0,1,4,5,6.8,+11,napiesh01
3,3,2014-11-02,23-111,MIA,,TOR,W (+5),0,17:04,2,3,.667,1,2,.500,3,3,1.000,1,1,2,2,2,0,2,2,8,8.3,-2,napiesh01
4,4,2014-11-04,23-113,MIA,,HOU,L (-17),0,27:12,2,6,.333,1,2,.500,0,2,.000,0,1,1,4,1,0,1,0,5,3.9,-4,napiesh01
5,5,2014-11-05,23-114,MIA,@,CHO,L (-7),0,25:59,2,7,.286,0,2,.000,3,4,.750,0,2,2,3,1,0,0,5,7,4.2,+6,napiesh01
6,6,2014-11-08,23-117,MIA,,MIN,W (+10),0,16:30,1,2,.500,0,0,,0,0,,1,3,4,1,1,0,3,2,2,0.5,-3,napiesh01
7,7,2014-11-09,23-118,MIA,@,DAL,W (+9),0,25:59,0,4,.000,0,2,.000,0,0,,1,2,3,1,1,1,1,2,0,-0.9,+4,napiesh01
8,8,2014-11-12,23-121,MIA,,IND,L (-6),0,13:41,1,3,.333,1,3,.333,0,0,,1,2,3,4,0,0,1,1,3,4.0,+6,napiesh01
9,9,2014-11-14,23-123,MIA,@,ATL,L (-11),0,21:05,2,4,.500,0,1,.000,0,0,,0,2,2,1,0,0,3,2,4,-0.5,-8,napiesh01
10,10,2014-11-16,23-125,MIA,,MIL,L (-7),0,25:51,4,5,.800,1,2,.500,1,2,.500,0,5,5,1,0,0,3,0,10,6.9,+2,napiesh01
11,11,2014-11-17,23-126,MIA,@,BRK,W (+12),0,18:08,4,8,.500,3,6,.500,0,0,,1,2,3,3,1,0,6,1,11,5.0,-1,napiesh01
12,12,2014-11-20,23-129,MIA,,LAC,L (-17),0,32:18,5,9,.556,2,6,.333,5,6,.833,0,5,5,3,1,0,2,1,17,14.5,+3,napiesh01
13,13,2014-11-22,23-131,MIA,@,ORL,W (+7),0,27:50,4,8,.500,2,5,.400,2,4,.500,0,2,2,1,2,0,4,3,12,5.3,-5,napiesh01
14,14,2014-11-23,23-132,MIA,,CHO,W (+1),0,34:08,4,9,.444,4,5,.800,2,2,1.000,0,0,0,3,2,0,3,2,14,9.6,+2,napiesh01
15,15,2014-11-25,23-134,MIA,,GSW,L (-17),0,25:51,3,6,.500,1,2,.500,3,3,1.000,1,2,3,2,0,0,4,5,10,3.7,+4,napiesh01
16,16,2014-11-30,23-139,MIA,@,NYK,W (+7),0,19:08,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-0.1,+6,napiesh01
17,17,2014-12-01,23-140,MIA,@,WAS,L (-21),0,24:31,3,8,.375,0,5,.000,0,0,,0,2,2,2,0,0,1,3,6,1.4,-14,napiesh01
18,18,2014-12-03,23-142,MIA,,ATL,L (-10),0,32:22,2,4,.500,1,3,.333,2,2,1.000,1,1,2,1,2,0,0,4,7,7.1,-20,napiesh01
19,19,2014-12-05,23-144,MIA,@,MIL,L (-24),0,24:52,2,5,.400,2,3,.667,0,0,,0,1,1,4,3,0,1,2,6,7.6,-7,napiesh01
20,20,2014-12-07,23-146,MIA,@,MEM,L (-16),0,18:24,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-14,napiesh01
21,21,2014-12-09,23-148,MIA,@,PHO,W (+6),0,3:03,0,3,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-1.4,-7,napiesh01
22,22,2014-12-10,23-149,MIA,@,DEN,L (-20),0,13:04,1,3,.333,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,2.3,+3,napiesh01
23,23,2014-12-12,23-151,MIA,@,UTA,W (+5),0,9:39,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,0.3,-3,napiesh01
25,24,2014-12-16,23-155,MIA,@,BRK,W (+4),0,18:24,3,4,.750,3,4,.750,2,2,1.000,1,2,3,0,1,0,3,1,11,8.3,+6,napiesh01
26,25,2014-12-17,23-156,MIA,,UTA,L (-18),0,14:01,0,4,.000,0,2,.000,0,2,.000,1,3,4,2,2,0,1,0,0,0.4,-13,napiesh01
36,26,2015-01-08,23-178,MIA,@,POR,L (-16),0,4:40,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+5,napiesh01
