Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
38,38,2015-01-11,30-201,LAC,,MIA,L (-14),1,34:57,6,10,.600,2,4,.500,0,0,,0,2,2,1,1,0,2,2,14,8.9,-7,redicjj01
39,39,2015-01-14,30-204,LAC,@,POR,W (+6),1,36:46,3,12,.250,1,3,.333,0,0,,0,2,2,3,1,0,1,2,7,1.7,0,redicjj01
40,40,2015-01-16,30-206,LAC,,CLE,L (-5),1,30:05,5,10,.500,4,6,.667,0,0,,0,1,1,0,1,0,3,1,14,6.9,+19,redicjj01
41,41,2015-01-17,30-207,LAC,@,SAC,W (+9),1,25:53,7,14,.500,4,9,.444,0,0,,0,0,0,1,1,0,1,2,18,10.9,0,redicjj01
42,42,2015-01-19,30-209,LAC,,BOS,W (+9),1,31:27,5,12,.417,3,5,.600,3,3,1.000,1,1,2,3,0,0,0,3,16,11.5,+16,redicjj01
43,43,2015-01-22,30-212,LAC,,BRK,W (+39),1,19:44,6,8,.750,3,4,.750,2,2,1.000,0,0,0,3,0,0,1,1,17,14.5,+25,redicjj01
44,44,2015-01-25,30-215,LAC,@,PHO,W (+20),1,30:41,7,12,.583,3,4,.750,3,3,1.000,1,2,3,0,1,0,1,3,20,14.5,+27,redicjj01
45,45,2015-01-26,30-216,LAC,,DEN,W (+4),1,18:56,2,10,.200,0,2,.000,2,2,1.000,0,1,1,0,1,0,0,1,6,0.7,-3,redicjj01
47,46,2015-01-30,30-220,LAC,@,NOP,L (-5),1,27:55,5,13,.385,0,5,.000,2,2,1.000,0,1,1,4,0,1,1,3,12,6.5,-11,redicjj01
48,47,2015-01-31,30-221,LAC,@,SAS,W (+20),1,27:47,4,7,.571,1,2,.500,0,0,,0,4,4,1,0,0,1,0,9,6.6,+7,redicjj01
49,48,2015-02-02,30-223,LAC,@,BRK,L (-2),1,4:11,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,0.0,-2,redicjj01
53,49,2015-02-09,30-230,LAC,@,DAL,W (+17),1,30:56,5,12,.417,3,4,.750,2,2,1.000,1,1,2,3,1,0,0,2,15,11.9,+2,redicjj01
54,50,2015-02-11,30-232,LAC,,HOU,W (+15),1,37:01,9,16,.563,2,5,.400,0,0,,0,3,3,4,0,0,1,3,20,13.9,+20,redicjj01
55,51,2015-02-19,30-240,LAC,,SAS,W (+4),1,39:46,6,13,.462,1,5,.200,2,2,1.000,0,5,5,2,0,0,2,0,15,9.2,+8,redicjj01
56,52,2015-02-21,30-242,LAC,,SAC,W (+27),1,26:24,6,13,.462,4,6,.667,8,8,1.000,0,2,2,3,0,0,0,2,24,19.2,+11,redicjj01
57,53,2015-02-23,30-244,LAC,,MEM,L (-3),1,37:08,3,12,.250,1,6,.167,1,2,.500,0,3,3,4,1,0,0,2,8,4.3,-1,redicjj01
58,54,2015-02-25,30-246,LAC,@,HOU,L (-5),1,30:14,6,12,.500,3,6,.500,0,0,,1,1,2,0,0,0,2,3,15,6.8,+1,redicjj01
