<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,21,WAS,NBA,PG,64,0,779,88,220,.400,12,42,.286,76,178,.427,.427,42,59,.712,12,80,92,131,28,2,48,50,230
2012-13,22,TOT,NBA,PG-SG,31,3,416,58,126,.460,18,49,.367,40,77,.519,.532,9,16,.563,3,37,40,68,15,0,34,39,143
2012-13,22,WAS,NBA,PG,7,2,141,16,40,.400,4,13,.308,12,27,.444,.450,1,2,.500,3,13,16,23,6,0,8,10,37
2012-13,22,PHI,NBA,SG,4,0,7,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,0,0,1,0,0,2,1,2
2012-13,22,ATL,NBA,PG,20,1,268,41,84,.488,14,35,.400,27,49,.551,.571,8,14,.571,0,24,24,44,9,0,24,28,104
2013-14,23,ATL,NBA,PG,73,11,1490,209,501,.417,62,184,.337,147,317,.464,.479,64,74,.865,21,139,160,271,50,2,89,100,544
2014-15,24,ATL,NBA,PG,55,0,833,117,292,.401,40,127,.315,77,165,.467,.469,25,31,.806,8,71,79,155,30,2,49,32,299
2015-16,25,ATL,NBA,PG,8,0,74,12,30,.400,2,8,.250,10,22,.455,.433,3,3,1.000,1,10,11,17,5,0,5,3,29
Career,,,NBA,,231,14,3592,484,1169,.414,134,410,.327,350,759,.461,.471,143,183,.781,45,337,382,642,128,6,225,224,1245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,ATL,NBA,,156,12,2665,379,907,.418,118,354,.333,261,553,.472,.483,100,122,.820,30,244,274,487,94,4,167,163,976
2 seasons,,WAS,NBA,,71,2,920,104,260,.400,16,55,.291,88,205,.429,.431,43,61,.705,15,93,108,154,34,2,56,60,267
1 season,,PHI,NBA,,4,0,7,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,0,0,1,0,0,2,1,2
