<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,19,NOH,NBA,SG,76,56,1859,295,748,.394,81,281,.288,214,467,.458,.449,111,161,.689,39,113,152,142,55,11,109,135,782
2005-06,20,NOK,NBA,SG,55,25,989,144,366,.393,52,140,.371,92,226,.407,.464,83,101,.822,19,91,110,58,37,4,54,90,423
2006-07,21,DEN,NBA,SG,63,24,1471,284,644,.441,149,382,.390,135,262,.515,.557,102,126,.810,30,113,143,91,49,9,85,147,819
2007-08,22,DEN,NBA,SG,74,0,1421,311,674,.461,157,390,.403,154,284,.542,.578,128,178,.719,43,109,152,128,62,12,112,144,907
2008-09,23,DEN,NBA,SG,81,18,2245,424,950,.446,180,453,.397,244,497,.491,.541,205,272,.754,43,254,297,227,78,14,150,190,1233
2009-10,24,DEN,NBA,SG,75,0,2082,428,1033,.414,158,467,.338,270,566,.477,.491,142,201,.706,28,206,234,183,99,20,139,174,1156
2010-11,25,DEN,NBA,SF,79,6,1968,341,784,.435,124,318,.390,217,466,.466,.514,163,221,.738,45,277,322,175,92,16,100,173,969
2011-12,26,NYK,NBA,SG,35,1,967,165,405,.407,67,193,.347,98,212,.462,.490,39,55,.709,29,107,136,84,54,6,46,87,436
2012-13,27,NYK,NBA,SG,80,0,2678,527,1249,.422,155,436,.356,372,813,.458,.484,237,311,.762,64,361,425,218,100,24,134,226,1446
2013-14,28,NYK,NBA,SF,74,37,2421,396,955,.415,189,480,.394,207,475,.436,.514,90,138,.652,35,261,296,219,65,20,108,196,1071
2014-15,29,TOT,NBA,SG,70,51,2080,315,755,.417,163,426,.383,152,329,.462,.525,54,72,.750,30,188,218,195,82,22,97,163,847
2014-15,29,NYK,NBA,SG,24,6,619,101,251,.402,32,90,.356,69,161,.429,.466,27,39,.692,4,54,58,81,18,4,45,44,261
2014-15,29,CLE,NBA,SG,46,45,1461,214,504,.425,131,336,.390,83,168,.494,.555,27,33,.818,26,134,160,114,64,18,52,119,586
2015-16,30,CLE,NBA,SG,15,15,484,62,165,.376,30,85,.353,32,80,.400,.467,9,18,.500,11,37,48,32,14,11,18,48,163
Career,,,NBA,,777,233,20665,3692,8728,.423,1505,4051,.372,2187,4677,.468,.509,1363,1854,.735,416,2117,2533,1752,787,169,1152,1773,10252
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,DEN,NBA,,372,48,9187,1788,4085,.438,768,2010,.382,1020,2075,.492,.532,740,998,.741,189,959,1148,804,380,71,586,828,5084
4 seasons,,NYK,NBA,,213,44,6685,1189,2860,.416,443,1199,.369,746,1661,.449,.493,393,543,.724,132,783,915,602,237,54,333,553,3214
2 seasons,,NOHNOK,NBA,,131,81,2848,439,1114,.394,133,421,.316,306,693,.442,.454,194,262,.740,58,204,262,200,92,15,163,225,1205
2 seasons,,CLE,NBA,,61,60,1945,276,669,.413,161,421,.382,115,248,.464,.533,36,51,.706,37,171,208,146,78,29,70,167,749
